"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2019-20","Fall","ACIS","5654","Advanced Accounting Analytics","Shortt","3.74","40","40","20","0","0","0","0","0","0","0","0","0","0","5","90680","  3"
"2019-20","Fall","FIN","3074","Legal & Finance Entrepreneurs","McClanahan","3.62","0","80","20","0","0","0","0","0","0","0","0","0","0","5","90770","  3"
"2019-20","Fall","HTM","4514","Hospitality Market Data Analys","Perdue","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","90922","  3"
"2019-20","Fall","MKTG","6304","Sem In Buyer Beh Res","May","3.94","80","20","0","0","0","0","0","0","0","0","0","0","0","5","91364","  3"
"2019-20","Fall","MKTG","6984","SS:Exp Rsrch:Appr.Dsgn & Data","Pandelaere","3.34","20","20","20","20","20","0","0","0","0","0","0","0","0","5","91552","  3"
"2019-20","Spring","ACIS","5654","Advanced Accounting Analytics","Shortt","3.86","80","0","20","0","0","0","0","0","0","0","0","0","0","5","10211","  3"
"2019-20","Spring","FIN","4224","Fixed Income Securities","Morgan","3.48","60","0","0","0","40","0","0","0","0","0","0","0","0","5","14914","  3"
"2019-20","Spring","MGT","5314","Organization Behavior","Becker","3.74","40","40","20","0","0","0","0","0","0","0","0","0","0","5","17295","  3"
"2019-20","Spring","MKTG","5104","Marketing Policy And Strategy","Leijon","3.4","20","40","20","0","0","20","0","0","0","0","0","0","0","5","17420","  3"
"2019-20","Spring","MKTG","6105","Advanced Topics In Marketing","Chakravarti","3.74","40","40","20","0","0","0","0","0","0","0","0","0","0","5","17442","  3"
"2019-20","Spring","ACIS","4344","Tax for Financial Planners","Compton","2.72","20","0","40","20","0","0","0","0","0","0","0","20","1","5","19663","  3"
"2019-20","Spring","BIT","4624","Cybersecurity Analytics","Adjerid","3.94","80","20","0","0","0","0","0","0","0","0","0","0","0","5","19853","  3"
"2019-20","Spring","MKTG","6105","Advanced Topics In Marketing","Chakravarti","3.66","40","20","40","0","0","0","0","0","0","0","0","0","0","5","21428","  3"
"2019-20","Spring","MKTG","6984","SS:Quant Mthds Bus Rsrch","Jiang","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","21760","  3"
"2020-21","Fall","ACIS","5104","Fundamentals of Accounting","Bhattacharjee","2.74","40","0","20","0","0","0","0","20","0","0","20","0","0","5","80171","  3"
"2020-21","Fall","ACIS","5654","Advanced Accounting Analytics","Shortt","3.54","60","0","0","20","20","0","0","0","0","0","0","0","0","5","80190","  3"
"2020-21","Fall","FIN","3074","Legal & Finance Entrepreneurs","McClanahan","3.88","60","40","0","0","0","0","0","0","0","0","0","0","0","5","84910","  3"
"2020-21","Fall","HTM","5024","International Service Mgt","Khan","3.72","60","0","40","0","0","0","0","0","0","0","0","0","0","5","85872","  3"
"2020-21","Fall","HTM","5514","Contemp Prob Hosp Ind","Khan","3.66","40","20","40","0","0","0","0","0","0","0","0","0","0","5","85875","  3"
"2020-21","Spring","ACIS","5364","Multi-jurisdictional Tax Cncpt","Compton","3.86","80","0","20","0","0","0","0","0","0","0","0","0","0","5","10194","  3"
"2020-21","Spring","HTM","2434","Hospitality Sales","Feiertag","3.52","40","0","40","20","0","0","0","0","0","0","0","0","0","5","16193","  3"
"2020-21","Spring","MGT","5814","Entrepreneurial Leadership","Hatfield","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","17929","  3"
"2020-21","Spring","MGT","6224","Appl Meas in Bus Research","Beal","3.74","60","20","0","20","0","0","0","0","0","0","0","0","0","5","17937","  3"
"2020-21","Spring","ACIS","5444","Forensic & Investigative Acctg","Rogers","3.42","0","60","20","0","20","0","0","0","0","0","0","0","0","5","20663","  3"
"2020-21","Spring","FIN","4256","Credit Corps Lending Practicum","Hood","3.6","60","0","20","0","20","0","0","0","0","0","0","0","0","5","21566","  3"
"2020-21","Spring","FIN","5984","SS: Corporate Governance","Mansi","3.8","60","20","20","0","0","0","0","0","0","0","0","0","0","5","21693","  3"
"2020-21","Spring","MKTG","6105","Advanced Topics In Marketing","Liu","3.8","60","20","20","0","0","0","0","0","0","0","0","0","0","5","21718","  3"
"2021-22","Fall","HTM","4964","Field Study in HTM","Duetsch","3.62","20","60","0","20","0","0","0","0","0","0","0","0","0","5","86047","  3"
"2021-22","Fall","MGT","5314","Organization Behavior","Becker","3.6","20","40","40","0","0","0","0","0","0","0","0","0","0","5","88491","  3"
"2021-22","Fall","BIT","2406","Bus Stats Analytics & Model","Eroglu","2.48","0","20","0","20","0","0","40","20","0","0","0","0","1","5","93297","  3"
"2021-22","Spring","MKTG","4404","Field Practicum In Marketing","Collins","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","17804","  3"
"2021-22","Spring","MKTG","4404","Field Practicum In Marketing","Wertalik","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","17806","  3"
"2021-22","Spring","BIT","4614","Information Security","Vance","2.82","20","0","0","20","40","0","0","20","0","0","0","0","1","5","21596","  3"
"2022-23","Fall","ACIS","4124","Governmental Acctg","Garner","3","20","0","20","20","20","0","20","0","0","0","0","0","0","5","80162","  3"
"2022-23","Fall","BIT","4444","Web-Based DSS","Wang","3.54","60","20","0","0","0","0","20","0","0","0","0","0","0","5","81840","  3"
"2022-23","Fall","MGT","4945","Executive Ldrshp for Cadets","Alia","4","100","0","0","0","0","0","0","0","0","0","0","0","0","15","87871","  1"
"2022-23","Fall","MGT","5124","Business Research Methods","Beal","3.94","80","20","0","0","0","0","0","0","0","0","0","0","0","5","87876","  3"
